Titel	UBVU-ID	zoomnr	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path	page type
XP.05092_018 (OT)	2,18E+11	VUA005000001_0058_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/99	99	100.jpg	/bis/image/100.jpg	1
XP.05092_018a (OT)	2,18E+11	VUA005000001_0059_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/100	100	101.jpg	/bis/image/101.jpg	1
XP.05092_018b (OT)	2,18E+11	VUA005000001_0060_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/101	101	102.jpg	/bis/image/102.jpg	1
XP.05092_019 (OT)	2,18E+11	VUA005000001_0061_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/102	102	103.jpg	/bis/image/103.jpg	1
XP.05092_020 (OT)	2,18E+11	VUA005000001_0062_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/103	103	104.jpg	/bis/image/104.jpg	1
XP.05092_020a (OT)	2,18E+11	VUA005000001_0063_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/104	104	105.jpg	/bis/image/105.jpg	1
XP.05092_020b (OT)	2,18E+11	VUA005000001_0064_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/105	105	106.jpg	/bis/image/106.jpg	1
XP.05092_021 (OT)	2,18E+11	VUA005000001_0065_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/106	106	107.jpg	/bis/image/107.jpg	1
XP.05092_022 (OT)	2,18E+11	VUA005000001_0066_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/107	107	108.jpg	/bis/image/108.jpg	1
XP.05092_022a (OT)	2,18E+11	VUA005000001_0067_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/108	108	109.jpg	/bis/image/109.jpg	1
XP.05092_022b (OT)	2,18E+11	VUA005000001_0068_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/109	109	110.jpg	/bis/image/110.jpg	1
XP.05092_023 (OT)	2,18E+11	VUA005000001_0069_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/110	110	111.jpg	/bis/image/111.jpg	1
XP.05092_024 (OT)	2,18E+11	VUA005000001_0070_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/111	111	112.jpg	/bis/image/112.jpg	1
XP.05092_024a (OT)	2,18E+11	VUA005000001_0071_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/112	112	113.jpg	/bis/image/113.jpg	1
XP.05092_024b (OT)	2,18E+11	VUA005000001_0072_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/113	113	114.jpg	/bis/image/114.jpg	1
XP.05092_025 (OT)	2,18E+11	VUA005000001_0073_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/114	114	115.jpg	/bis/image/115.jpg	1
XP.05092_026 (OT)	2,18E+11	VUA005000001_0074_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/115	115	116.jpg	/bis/image/116.jpg	1
XP.05092_026a (OT)	2,18E+11	VUA005000001_0075_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/116	116	117.jpg	/bis/image/117.jpg	1
XP.05092_026b (OT)	2,18E+11	VUA005000001_0076_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/117	117	118.jpg	/bis/image/118.jpg	1
XP.05092_027 (OT)	2,18E+11	VUA005000001_0077_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/118	118	119.jpg	/bis/image/119.jpg	1
XP.05092_028 (OT)	2,18E+11	VUA005000001_0078_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/119	119	120.jpg	/bis/image/120.jpg	1
XP.05092_028a (OT)	2,18E+11	VUA005000001_0079_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/120	120	121.jpg	/bis/image/121.jpg	1
XP.05092_028b (OT)	2,18E+11	VUA005000001_0080_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/121	121	122.jpg	/bis/image/122.jpg	1
XP.05092_029 (OT)	2,18E+11	VUA005000001_0081_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/122	122	123.jpg	/bis/image/123.jpg	1
XP.05092_030 (OT)	2,18E+11	VUA005000001_0082_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/123	123	124.jpg	/bis/image/124.jpg	1
XP.05092_030a (OT)	2,18E+11	VUA005000001_0083_R	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/124	124	125.jpg	/bis/image/125.jpg	1
XP.05092_030b (OT)	2,18E+11	VUA005000001_0084_L	19-5-2014	19-5-2014	http://cdm-vu.oclc.nl:80/cdm/ref/collection/bis/id/125	125	126.jpg	/bis/image/126.jpg	1
